lot_id,origin,process,varietal,sca_score,profile,Profile_SCA_Valid,standard_flavour
ATT250170,Colombia,"Washed, Co Fermented
Mango",Pink Bourbon,86.0,"Orange chocolate, warm spiced, whiskey, intense
flavour, boosy finish",whiskey,Sour/Fermented
ATT250173,Colombia,Thermal Shock,Red Bourbon,86.0,"Vanilla beans, Kit Kat, Coconut milk, gooey mouthfeel,
white chocolate finish",,
ATT250344,Colombia,"Washed, Co
Fermented Strawberry",Caturra,86.0,"Strawberry milk, toffee, gingerbread, mellow
mouthfeel, long chocolate finish",,
ATT250346,Colombia,"Washed, Co
Fermented Passion fruit",Caturra,86.0,"Tropical fruits, lemon, vanilla cake, complex acidity,
juicy mouthfeel",lemon,Fruity
ATT250453,Brazil,Blend,Natural,,"Chocolate, hazelnut, long finish, good body","chocolate, hazelnut",Nutty/Cocoa
ATT250468,Brazil,Blend,Natural,,"Chocolate, dried fruits, peanut","chocolate, peanut",Nutty/Cocoa
Prices valid till 31-01-2024,,,,,,,
ATT250124,Ethiopia,Washed,Heirloom,87.25,"Herbal, fruity,berry, juicy and balanced",herbal,Green/Vegetative
ATT240374,Kenya,Anaerobic Natural,"Blue Mountain,
Batian, Ruiru 11",88.0,"Banana, key lime pie, ripe pineapple",,
ATT250203,Ethiopia,Natural,Heirloom,84.0,"Fruity fragnance, fruity to winey flavor, wine like
acidity, lingering finish",,
ATT230331,Colombia,Anaerobic thermal shock washed,Red Bourbon,87.0,"Vibrant, Juicy, Tropical Fruit, Pineapple, Ice Cream, Well Balanced, Medium Acidity",pineapple,Fruity
ATT230270,India,Anaerobic Washed,S-795,85.75,"Smooth, Buttery, Butterscotch, Vanilla, Caramel","caramel, vanilla",Sweet
ATT230180,Kenya,Washed,SL-28 / SL-34,87.5,"Juicy, Pleasant Acidity, Green Apple, Peach, Complex",peach,Fruity
Prices valid till 30-06-2023,,,,,,,
ATT230207*,India,Washed,S-795,,Upon arrival,,
ATT230301*,India,Washed,S-795,,Upon arrival,,
ATT230205*,India,Washed,CxR,,Upon arrival,,
ATT230206*,India,Natural,CxR,,Upon arrival,,
ATT230209*,India,Natural,CxR,,Upon arrival,,
ATT230160,Kenya,Washed,SL-28 / SL-38,,Upon arrival,,
ATT230200,El Salvador,Natural,Bourbon,,Upon arrival,,
ATT240288,Colombia,Natural,Sidra Bourbon,87.0,"Plum, raisins, honey, maple",honey,Sweet
Prices valid till 31-03-2024,,,,,,,
Prices valid till 08-11-2024,,,,,,,
"All coffees located in Warsaw, Poland: prices exclude 23% VAT (only charged for companies registered in Poland)",,,,,,,
Prices valid till 30-04-2024,,,,,,,
Prices valid till 11-10-2024,,,,,,,
ATT220272,Colombia,Anaerobic washed,Pink Bourbon,87.5,"Tealike, Earl Grey, Mango,
Sweet Orange, Good Body",,
ATT220274,Colombia,"Anaerobic thermal
shock washed",Red Bourbon,87.25,"Soft, Round, Red Apple, Citric,
Herbal, Good Body",herbal,Green/Vegetative
ATT210282,Brazil,Natural,Red Catuaí,87.25,"Bright, Lavender, Strawberry,
Cherry, Dark Chocolate","cherry, dark chocolate, strawberry","Fruity, Nutty/Cocoa"
ATT220342,Rwanda,Honey,Red Bourbon,86.75,"Blueberry, Cherry, Caramel,
Hazelnut","blueberry, caramel, cherry, hazelnut","Fruity, Nutty/Cocoa, Sweet"
ATT220383,Brazil,Natural,Blend,,,,
ATT210276,Brazil,Natural,Red Catucaí,86.25,"Syrupy, Mango, Blueberry,
Cocoa, Peanut","blueberry, cocoa, peanut","Fruity, Nutty/Cocoa"
Prices valid till 29-02-2024,,,,,,,
